--------------------------------------------------------------------------------------------------------
|                                     DescribeLaunchConfigurations                                     |
+-------------------------------------------------------------+------------------------+---------------+
|  hkdl-commerce2-S0001423-apne1-prd-config-20231003080850211 |  ami-03b94da4ee1271c30 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-prd-config-20231018080620144 |  ami-0da7a1fa4bec1b43a |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-prd-config-20231108080919425 |  ami-0a9175261a64f7733 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-prd-config-2023120508091037  |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-prd-config-20240117080859732 |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-prd-config-20240313080904732 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-prd-config-20240403080604790 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-stg-config-20230720073326971 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-stg-config-20240215090214673 |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-stg-config-20240307073739454 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-stg-config-20240328073509611 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-stg-config-20240412          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hktk-latest-config-20181105181336242                       |  ami-00e0ff79015b5cd12 |  m4.2xlarge   |
|  lodging-latest-config-20230718073231836                    |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  lodging-latest-config-20230718073231836-20240214Backup     |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  lodging-latest-config-20231127120904446                    |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  lodging-latest-config-20240102071419269                    |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  lodging-latest-config-20240327                             |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  lodging-latest-config-20240408064416639                    |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  lodging-prod-config-2023072608311435                       |  ami-075de9e07e79e00e7 |  m6i.4xlarge  |
|  lodging-prod-config-20231003080609115                      |  ami-03b94da4ee1271c30 |  m6i.4xlarge  |
|  lodging-stage-config-20230720072406753                     |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  lodging-stage-config-20230720072406753-20240216Backup      |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  lodging-stage-config-20240412                              |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20230718070901479                |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20231127115523997                |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20231127153007384                |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240102071048939                |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240123105534289                |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240213071914167                |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240305072804165                |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240326071019205                |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240403                         |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-admin-hk-latest-config-20240406                         |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-admin-hk-prod-config-20240403080614459                  |  ami-0d4b18ebb8e22b004 |  m4.large     |
|  ma-admin-hk-stage-config-20230720072907428                 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-20231129071146246                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-20231129120217355                 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-20240104073428890                 |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-2024012507203479                  |  ami-0066762929bae8081 |  m6i.4xlarge  |
